dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,454894694737.0841,384456109898.2066,-14712629064.838978,11218.12291185019,-12306.100648555494,235.65357275048893,0.0,0.0,0.0
1800.0,454914887358.32544,384433958917.0392,-14712204888.408028,11217.793310419574,-12306.378811044902,235.66210203973688,0.0,0.0,0.0
3600.0,454935079386.2842,384411807435.1793,-14711780696.624355,11217.463718615485,-12306.656984040992,235.67063115718582,0.0,0.0,0.0
5400.0,454955270820.97766,384389655452.60803,-14711356489.488272,11217.134136438275,-12306.93516754339,235.6791601028264,0.0,0.0,0.0
7200.0,454975461662.4233,384367502969.30646,-14710932267.000086,11216.804563888294,-12307.213361551725,235.68768887664916,0.0,0.0,0.0
9000.0,454995651910.6383,384345349985.2557,-14710508029.160109,11216.475000965893,-12307.491566065624,235.69621747864474,0.0,0.0,0.0
10800.0,455015841565.64,384323196500.43677,-14710083775.968647,11216.145447671423,-12307.769781084717,235.70474590880374,0.0,0.0,0.0
12600.0,455036030627.4458,384301042514.8308,-14709659507.426012,11215.815904005234,-12308.048006608631,235.71327416711677,0.0,0.0,0.0
14400.0,455056219096.073,384278888028.41895,-14709235223.53251,11215.486369967679,-12308.326242636995,235.72180225357442,0.0,0.0,0.0
16200.0,455076406971.53894,384256733041.1822,-14708810924.288454,11215.156845559108,-12308.604489169436,235.7303301681673,0.0,0.0,0.0
18000.0,455096594253.86096,384234577553.1017,-14708386609.69415,11214.827330779872,-12308.882746205585,235.73885791088603,0.0,0.0,0.0
19800.0,455116780943.05634,384212421564.1585,-14707962279.749912,11214.49782563032,-12309.161013745068,235.74738548172118,0.0,0.0,0.0
21600.0,455136967039.14246,384190265074.33374,-14707537934.456045,11214.168330110804,-12309.439291787514,235.75591288066337,0.0,0.0,0.0
23400.0,455157152542.13666,384168108083.6085,-14707113573.81286,11213.838844221675,-12309.717580332552,235.7644401077032,0.0,0.0,0.0
25200.0,455177337452.0563,384145950591.9639,-14706689197.820667,11213.509367963283,-12309.995879379809,235.77296716283126,0.0,0.0,0.0
27000.0,455197521768.9186,384123792599.38104,-14706264806.479774,11213.17990133598,-12310.274188928912,235.7814940460382,0.0,0.0,0.0
28800.0,455217705492.74097,384101634105.84094,-14705840399.790491,11212.850444340114,-12310.55250897949,235.7900207573146,0.0,0.0,0.0
30600.0,455237888623.5408,384079475111.32477,-14705415977.753128,11212.520996976038,-12310.830839531172,235.79854729665107,0.0,0.0,0.0
32400.0,455258071161.3353,384057315615.8136,-14704991540.367994,11212.191559244102,-12311.109180583586,235.8070736640382,0.0,0.0,0.0
34200.0,455278253106.14197,384035155619.2886,-14704567087.635399,11211.862131144657,-12311.38753213636,235.8155998594666,0.0,0.0,0.0
36000.0,455298434457.978,384012995121.7307,-14704142619.555653,11211.532712678054,-12311.66589418912,235.8241258829269,0.0,0.0,0.0
37800.0,455318615216.86084,383990834123.12115,-14703718136.129063,11211.203303844643,-12311.944266741497,235.8326517344097,0.0,0.0,0.0
39600.0,455338795382.80774,383968672623.44104,-14703293637.35594,11210.873904644774,-12312.222649793119,235.8411774139056,0.0,0.0,0.0
41400.0,455358974955.8361,383946510622.6714,-14702869123.236595,11210.544515078796,-12312.501043343613,235.8497029214052,0.0,0.0,0.0
43200.0,455379153935.96326,383924348120.7934,-14702444593.771338,11210.215135147064,-12312.779447392606,235.85822825689914,0.0,0.0,0.0
45000.0,455399332323.20654,383902185117.7881,-14702020048.960476,11209.885764849925,-12313.057861939727,235.866753420378,0.0,0.0,0.0
46800.0,455419510117.58325,383880021613.6366,-14701595488.80432,11209.556404187731,-12313.336286984606,235.8752784118324,0.0,0.0,0.0
48600.0,455439687319.1108,383857857608.32,-14701170913.303179,11209.227053160832,-12313.614722526869,235.88380323125295,0.0,0.0,0.0
50400.0,455459863927.80646,383835693101.81946,-14700746322.457363,11208.897711769578,-12313.893168566143,235.89232787863025,0.0,0.0,0.0
52200.0,455480039943.6876,383813528094.116,-14700321716.267181,11208.56838001432,-12314.171625102057,235.90085235395492,0.0,0.0,0.0
54000.0,455500215366.77167,383791362585.19086,-14699897094.732944,11208.239057895407,-12314.450092134239,235.90937665721756,0.0,0.0,0.0
55800.0,455520390197.07587,383769196575.025,-14699472457.854961,11207.909745413192,-12314.728569662317,235.9179007884088,0.0,0.0,0.0
57600.0,455540564434.6176,383747030063.5996,-14699047805.633543,11207.580442568023,-12315.00705768592,235.9264247475192,0.0,0.0,0.0
59400.0,455560738079.41425,383724863050.89575,-14698623138.068998,11207.251149360252,-12315.285556204673,235.93494853453944,0.0,0.0,0.0
61200.0,455580911131.4831,383702695536.8946,-14698198455.161636,11206.92186579023,-12315.564065218208,235.94347214946012,0.0,0.0,0.0
63000.0,455601083590.8415,383680527521.5772,-14697773756.911768,11206.592591858305,-12315.84258472615,235.95199559227183,0.0,0.0,0.0
64800.0,455621255457.50684,383658359004.9247,-14697349043.319702,11206.26332756483,-12316.121114728126,235.96051886296516,0.0,0.0,0.0
66600.0,455641426731.49646,383636189986.91815,-14696924314.385748,11205.934072910153,-12316.399655223768,235.96904196153076,0.0,0.0,0.0
68400.0,455661597412.8277,383614020467.53876,-14696499570.110218,11205.604827894625,-12316.6782062127,235.97756488795923,0.0,0.0,0.0
70200.0,455681767501.5179,383591850446.7676,-14696074810.49342,11205.275592518597,-12316.956767694552,235.9860876422412,0.0,0.0,0.0
72000.0,455701936997.5844,383569679924.58575,-14695650035.535664,11204.94636678242,-12317.23533966895,235.99461022436725,0.0,0.0,0.0
73800.0,455722105901.0446,383547508900.97437,-14695225245.237259,11204.617150686443,-12317.513922135524,236.003132634328,0.0,0.0,0.0
75600.0,455742274211.91583,383525337375.91455,-14694800439.598516,11204.287944231015,-12317.7925150939,236.01165487211412,0.0,0.0,0.0
77400.0,455762441930.21545,383503165349.3874,-14694375618.619747,11203.95874741649,-12318.071118543709,236.02017693771617,0.0,0.0,0.0
79200.0,455782609055.9608,383480992821.374,-14693950782.30126,11203.629560243213,-12318.349732484574,236.02869883112479,0.0,0.0,0.0
81000.0,455802775589.16925,383458819791.8555,-14693525930.643364,11203.300382711537,-12318.628356916126,236.03722055233055,0.0,0.0,0.0
82800.0,455822941529.85815,383436646260.8131,-14693101063.64637,11202.971214821813,-12318.906991837992,236.04574210132412,0.0,0.0,0.0
84600.0,455843106878.04486,383414472228.2278,-14692676181.310587,11202.64205657439,-12319.185637249799,236.0542634780961,0.0,0.0,0.0
86400.0,455863271633.7467,383392297694.08075,-14692251283.636326,11202.31290796962,-12319.464293151175,236.06278468263707,0.0,0.0,0.0
