dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,-270823144298.29593,-267284641643.61453,252659719.3060816,38600.32701332715,-37188.77571637019,-672.5612779234887,0.0,0.0,0.0
1800.0,-270753663709.67194,-267351581439.904,251449109.00581932,38603.29852034324,-37185.52322397211,-672.5660061305539,0.0,0.0,0.0
3600.0,-270684177772.33533,-267418515381.70715,250238490.1947843,38606.26953482485,-37182.27008408015,-672.5707086865377,0.0,0.0,0.0
5400.0,-270614686487.17264,-267485443467.8585,249027862.91914853,38609.24005662598,-37179.016296736234,-672.5753855887376,0.0,0.0,0.0
7200.0,-270545189855.0707,-267552365697.19263,247817227.2250888,38612.210085600615,-37175.761861982326,-672.5800368344514,0.0,0.0,0.0
9000.0,-270475687876.91663,-267619282068.5442,246606583.1587868,38615.17962160273,-37172.506779860414,-672.5846624209773,0.0,0.0,0.0
10800.0,-270406180553.59775,-267686192580.74792,245395930.76642904,38618.14866448629,-37169.25105041252,-672.589262345614,0.0,0.0,0.0
12600.0,-270336667886.00168,-267753097232.63867,244185270.09420693,38621.117214105245,-37165.994673680696,-672.5938366056602,0.0,0.0,0.0
14400.0,-270267149875.0163,-267819996023.0513,242974601.18831673,38624.08527031353,-37162.73764970703,-672.5983851984153,0.0,0.0,0.0
16200.0,-270197626521.52972,-267886888950.82077,241763924.0949596,38627.052832965084,-37159.479978533636,-672.6029081211788,0.0,0.0,0.0
18000.0,-270128097826.4304,-267953776014.78214,240553238.86034146,38630.01990191381,-37156.22166020267,-672.6074053712508,0.0,0.0,0.0
19800.0,-270058563790.60693,-268020657213.7705,239342545.5306732,38632.986477013605,-37152.9626947563,-672.6118769459316,0.0,0.0,0.0
21600.0,-269989024414.9483,-268087532546.62106,238131844.15217054,38635.95255811836,-37149.70308223675,-672.616322842522,0.0,0.0,0.0
23400.0,-269919479700.3437,-268154402012.1691,236921134.771054,38638.91814508196,-37146.442822686266,-672.6207430583229,0.0,0.0,0.0
25200.0,-269849929647.68256,-268221265609.24994,235710417.43354902,38641.883237758266,-37143.181916147114,-672.6251375906359,0.0,0.0,0.0
27000.0,-269780374257.85458,-268288123336.699,234499692.18588588,38644.84783600112,-37139.9203626616,-672.6295064367625,0.0,0.0,0.0
28800.0,-269710813531.7498,-268354975193.3518,233288959.0742997,38647.811939664374,-37136.65816227207,-672.6338495940051,0.0,0.0,0.0
30600.0,-269641247470.2584,-268421821178.04388,232078218.1450305,38650.77554860184,-37133.39531502088,-672.6381670596662,0.0,0.0,0.0
