dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,-140859945532.0178,-159324501055.22537,-2738079099.35765,54857.390437183116,-39537.09865529015,-4485.855370256207,0.0,0.0,0.0
1800.0,-140761202229.23087,-159395667832.8049,-2746153639.024111,54876.6586483383,-39491.6295871608,-4483.906953468819,0.0,0.0,0.0
3600.0,-140662424243.66385,-159466752766.0618,-2754224671.5403547,54895.87928561422,-39446.14569519909,-4481.952961585941,0.0,0.0,0.0
5400.0,-140563611660.94974,-159537755828.31317,-2762292186.8712096,54915.05235247386,-39400.64700701741,-4479.993397181729,0.0,0.0,0.0
7200.0,-140464764566.71527,-159608676992.9258,-2770356174.986137,54934.17785233596,-39355.133550188846,-4478.028262823069,0.0,0.0,0.0
9000.0,-140365883046.58105,-159679516233.31616,-2778416625.8592186,54953.25578857498,-39309.60535224737,-4476.057561069585,0.0,0.0,0.0
10800.0,-140266967186.16162,-159750273522.9502,-2786473529.469144,54972.286164521014,-39264.06244068799,-4474.0812944736535,0.0,0.0,0.0
12600.0,-140168017071.0655,-159820948835.34344,-2794526875.7991962,54991.268983459784,-39218.50484296693,-4472.099465580408,0.0,0.0,0.0
14400.0,-140069032786.89526,-159891542144.0608,-2802576654.837241,55010.204248632566,-39172.9325865018,-4470.1120769277495,0.0,0.0,0.0
16200.0,-139970014419.2477,-159962053422.7165,-2810622856.5757113,55029.09196323617,-39127.34569867175,-4468.119131046358,0.0,0.0,0.0
18000.0,-139870962053.7139,-160032482644.9741,-2818665471.011595,55047.93213042286,-39081.74420681764,-4466.1206304597,0.0,0.0,0.0
19800.0,-139771875775.87915,-160102829784.54636,-2826704488.1464224,55066.72475330033,-39036.128138242224,-4464.116577684037,0.0,0.0,0.0
21600.0,-139672755671.3232,-160173094815.1952,-2834739897.9862537,55085.46983493166,-38990.49752021031,-4462.106975228439,0.0,0.0,0.0
23400.0,-139573601825.62033,-160243277710.73157,-2842771690.541665,55104.16737833526,-38944.852379948905,-4460.09182559479,0.0,0.0,0.0
25200.0,-139474414324.33932,-160313378445.01547,-2850799855.827736,55122.817386484814,-38899.19274464742,-4458.071131277798,0.0,0.0,0.0
27000.0,-139375193253.04364,-160383396991.95584,-2858824383.864036,55141.41986230927,-38853.51864145781,-4456.044894765006,0.0,0.0,0.0
28800.0,-139275938697.29147,-160453333325.51047,-2866845264.674613,55159.97480869274,-38807.830097494756,-4454.013118536801,0.0,0.0,0.0
30600.0,-139176650742.63583,-160523187419.68594,-2874862488.287979,55178.482228474524,-38762.127139835815,-4451.975805066422,0.0,0.0,0.0
32400.0,-139077329474.62457,-160592959248.53766,-2882876044.7370987,55196.94212444899,-38716.409795521606,-4449.932956819973,0.0,0.0,0.0
34200.0,-138977974978.80057,-160662648786.1696,-2890885924.059375,55215.35449936559,-38670.67809155596,-4447.884576256427,0.0,0.0,0.0
36000.0,-138878587340.70172,-160732256006.73438,-2898892116.2966366,55233.71935592876,-38624.93205490609,-4445.830665827641,0.0,0.0,0.0
37800.0,-138779166645.86105,-160801780884.4332,-2906894611.4951262,55252.03669679794,-38579.17171250277,-4443.77122797836,0.0,0.0,0.0
39600.0,-138679712979.80682,-160871223393.51572,-2914893399.7054873,55270.30652458747,-38533.39709124049,-4441.706265146232,0.0,0.0,0.0
41400.0,-138580226428.06256,-160940583508.27994,-2922888470.9827504,55288.528841866566,-38487.60821797762,-4439.635779761814,0.0,0.0,0.0
43200.0,-138480707076.1472,-161009861203.0723,-2930879815.3863215,55306.703651159296,-38441.80511953658,-4437.559774248581,0.0,0.0,0.0
45000.0,-138381155009.5751,-161079056452.28748,-2938867422.979969,55324.8309549445,-38395.987822703995,-4435.478251022937,0.0,0.0,0.0
46800.0,-138281570313.8562,-161148169230.36835,-2946851283.8318105,55342.91075565576,-38350.15635423089,-4433.391212494224,0.0,0.0,0.0
48600.0,-138181953074.49603,-161217199511.80597,-2954831388.0143,55360.94305568137,-38304.310740832814,-4431.298661064734,0.0,0.0,0.0
50400.0,-138082303376.99582,-161286147271.13947,-2962807725.6042166,55378.927857364266,-38258.451009190045,-4429.200599129711,0.0,0.0,0.0
52200.0,-137982621306.85257,-161355012482.956,-2970780286.68265,55396.86516300201,-38212.57718594772,-4427.097029077369,0.0,0.0,0.0
54000.0,-137882906949.55917,-161423795121.8907,-2978749061.3349895,55414.75497484672,-38166.689297716024,-4424.987953288897,0.0,0.0,0.0
55800.0,-137783160390.60446,-161492495162.6266,-2986714039.6509094,55432.597295105035,-38120.78737107036,-4422.8733741384685,0.0,0.0,0.0
57600.0,-137683381715.47327,-161561112579.8945,-2994675211.7243586,55450.39212593808,-38074.87143255147,-4420.753293993252,0.0,0.0,0.0
59400.0,-137583571009.64658,-161629647348.47308,-3002632567.6535463,55468.139469461414,-38028.94150866566,-4418.62771521342,0.0,0.0,0.0
61200.0,-137483728358.60153,-161698099443.1887,-3010586097.5409303,55485.83932774498,-37982.99762588492,-4416.496640152158,0.0,0.0,0.0
63000.0,-137383853847.81158,-161766468838.91528,-3018535791.493204,55503.49170281307,-37937.039810647104,-4414.360071155675,0.0,0.0,0.0
64800.0,-137283947562.74652,-161834755510.57446,-3026481639.6212845,55521.0965966443,-37891.06808935609,-4412.218010563211,0.0,0.0,0.0
66600.0,-137184009588.87256,-161902959433.1353,-3034423632.0402985,55538.65401117151,-37845.08248838196,-4410.070460707049,0.0,0.0,0.0
68400.0,-137084040011.65245,-161971080581.6144,-3042361758.869571,55556.163948281785,-37799.083034061136,-4407.917423912524,0.0,0.0,0.0
70200.0,-136984038916.54555,-162039118931.0757,-3050296010.2326136,55573.62640981638,-37753.06975269656,-4405.758902498029,0.0,0.0,0.0
72000.0,-136884006389.00787,-162107074456.63055,-3058226376.25711,55591.041397570676,-37707.042670557865,-4403.594898775028,0.0,0.0,0.0
73800.0,-136783942514.49225,-162174947133.43756,-3066152847.0749054,55608.408913294144,-37661.00181388152,-4401.425415048066,0.0,0.0,0.0
75600.0,-136683847378.44832,-162242736936.70255,-3074075412.821992,55625.728958690306,-37614.94720887102,-4399.2504536147735,0.0,0.0,0.0
77400.0,-136583721066.32268,-162310443841.67853,-3081994063.6384983,55643.00153541668,-37568.878881697,-4397.070016765882,0.0,0.0,0.0
79200.0,-136483563663.55893,-162378067823.6656,-3089908789.668677,55660.22664508475,-37522.79685849745,-4394.88410678523,0.0,0.0,0.0
81000.0,-136383375255.59778,-162445608858.0109,-3097819581.06089,55677.40428925992,-37476.701165377875,-4392.6927259497725,0.0,0.0,0.0
82800.0,-136283155927.8771,-162513066920.10858,-3105726427.9676,55694.53446946145,-37430.59182841141,-4390.495876529591,0.0,0.0,0.0
84600.0,-136182905765.83208,-162580441985.39972,-3113629320.545353,55711.617187162454,-37384.46887363902,-4388.2935607879035,0.0,0.0,0.0
86400.0,-136082624854.89519,-162647734029.37228,-3121528248.954771,55728.65244378983,-37338.33232706968,-4386.085780981073,0.0,0.0,0.0
