dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,4349167947359.8755,-391155140426.7016,-96754109979.39952,20119.20565438934,-17449.720402113522,-32.130022966168966,0.0,0.0,0.0
1800.0,4349204161930.053,-391186549923.4254,-96754167813.44086,20119.193725660087,-17449.71961021905,-32.12976438204131,0.0,0.0,0.0
3600.0,4349240376478.7593,-391217959418.7238,-96754225647.01674,20119.18179692879,-17449.718818350797,-32.129505797327354,0.0,0.0,0.0
5400.0,4349276591005.9937,-391249368912.59686,-96754283480.12717,20119.16986819546,-17449.718026508763,-32.12924721202711,0.0,0.0,0.0
7200.0,4349312805511.7563,-391280778405.04456,-96754341312.77216,20119.157939460085,-17449.717234692947,-32.128988626140575,0.0,0.0,0.0
9000.0,4349349019996.0474,-391312187896.067,-96754399144.95168,20119.146010722674,-17449.71644290335,-32.12873003966775,0.0,0.0,0.0
10800.0,4349385234458.8667,-391343597385.66425,-96754456976.66574,20119.134081983222,-17449.715651139973,-32.128471452608636,0.0,0.0,0.0
12600.0,4349421448900.2144,-391375006873.8363,-96754514807.91435,20119.122153241733,-17449.714859402815,-32.12821286496323,0.0,0.0,0.0
14400.0,4349457663320.0903,-391406416360.58325,-96754572638.69751,20119.110224498203,-17449.714067691875,-32.12795427673154,0.0,0.0,0.0
16200.0,4349493877718.4946,-391437825845.9051,-96754630469.01521,20119.098295752636,-17449.713276007154,-32.127695687913565,0.0,0.0,0.0
18000.0,4349530092095.427,-391469235329.8019,-96754688298.86745,20119.08636700503,-17449.712484348656,-32.127437098509304,0.0,0.0,0.0
19800.0,4349566306450.887,-391500644812.2737,-96754746128.25423,20119.074438255386,-17449.711692716377,-32.12717850851876,0.0,0.0,0.0
21600.0,4349602520784.876,-391532054293.32056,-96754803957.17554,20119.062509503703,-17449.710901110317,-32.12691991794193,0.0,0.0,0.0
23400.0,4349638735097.393,-391563463772.94257,-96754861785.6314,20119.050580749983,-17449.710109530475,-32.12666132677883,0.0,0.0,0.0
25200.0,4349674949388.4385,-391594873251.1397,-96754919613.62178,20119.038651994222,-17449.709317976853,-32.126402735029444,0.0,0.0,0.0
27000.0,4349711163658.012,-391626282727.91205,-96754977441.1467,20119.026723236424,-17449.70852644945,-32.12614414269378,0.0,0.0,0.0
28800.0,4349747377906.1143,-391657692203.25964,-96755035268.20616,20119.01479447659,-17449.707734948264,-32.125885549771844,0.0,0.0,0.0
30600.0,4349783592132.744,-391689101677.18256,-96755093094.80016,20119.002865714712,-17449.7069434733,-32.12562695626363,0.0,0.0,0.0
32400.0,4349819806337.9023,-391720511149.6808,-96755150920.92868,20118.9909369508,-17449.70615202455,-32.12536836216914,0.0,0.0,0.0
34200.0,4349856020521.589,-391751920620.75446,-96755208746.59174,20118.979008184848,-17449.705360602024,-32.125109767488375,0.0,0.0,0.0
36000.0,4349892234683.8037,-391783330090.40356,-96755266571.78932,20118.967079416856,-17449.704569205715,-32.12485117222134,0.0,0.0,0.0
37800.0,4349928448824.547,-391814739558.6281,-96755324396.52144,20118.955150646827,-17449.703777835624,-32.12459257636804,0.0,0.0,0.0
39600.0,4349964662943.818,-391846149025.4282,-96755382220.78807,20118.94322187476,-17449.702986491753,-32.12433397992846,0.0,0.0,0.0
41400.0,4350000877041.617,-391877558490.8039,-96755440044.58923,20118.931293100657,-17449.702195174104,-32.12407538290261,0.0,0.0,0.0
43200.0,4350037091117.945,-391908967954.7552,-96755497867.92493,20118.919364324516,-17449.701403882675,-32.1238167852905,0.0,0.0,0.0
45000.0,4350073305172.801,-391940377417.28217,-96755555690.79514,20118.907435546334,-17449.700612617464,-32.12355818709212,0.0,0.0,0.0
46800.0,4350109519206.1846,-391971786878.3849,-96755613513.19987,20118.895506766115,-17449.699821378472,-32.12329958830748,0.0,0.0,0.0
48600.0,4350145733218.0967,-392003196338.06335,-96755671335.13913,20118.88357798386,-17449.6990301657,-32.12304098893657,0.0,0.0,0.0
50400.0,4350181947208.537,-392034605796.3176,-96755729156.61292,20118.871649199566,-17449.698238979145,-32.1227823889794,0.0,0.0,0.0
52200.0,4350218161177.506,-392066015253.14777,-96755786977.62122,20118.859720413235,-17449.69744781881,-32.12252378843597,0.0,0.0,0.0
54000.0,4350254375125.0024,-392097424708.55383,-96755844798.16403,20118.847791624867,-17449.696656684693,-32.122265187306276,0.0,0.0,0.0
55800.0,4350290589051.0273,-392128834162.5359,-96755902618.24136,20118.83586283446,-17449.695865576796,-32.12200658559033,0.0,0.0,0.0
57600.0,4350326802955.5806,-392160243615.09393,-96755960437.85321,20118.82393404202,-17449.695074495117,-32.12174798328812,0.0,0.0,0.0
59400.0,4350363016838.6616,-392191653066.228,-96756018256.99957,20118.81200524754,-17449.69428343966,-32.12148938039965,0.0,0.0,0.0
61200.0,4350399230700.271,-392223062515.93823,-96756076075.68045,20118.80007645102,-17449.693492410424,-32.12123077692493,0.0,0.0,0.0
63000.0,4350435444540.4087,-392254471964.22455,-96756133893.89584,20118.788147652467,-17449.692701407406,-32.12097217286396,0.0,0.0,0.0
64800.0,4350471658359.0747,-392285881411.0871,-96756191711.64575,20118.776218851875,-17449.691910430607,-32.12071356821673,0.0,0.0,0.0
66600.0,4350507872156.2686,-392317290856.5259,-96756249528.93018,20118.764290049246,-17449.691119480027,-32.120454962983246,0.0,0.0,0.0
68400.0,4350544085931.9907,-392348700300.54095,-96756307345.74911,20118.75236124458,-17449.690328555665,-32.120196357163515,0.0,0.0,0.0
70200.0,4350580299686.2407,-392380109743.1324,-96756365162.10255,20118.740432437877,-17449.689537657523,-32.119937750757536,0.0,0.0,0.0
72000.0,4350616513419.019,-392411519184.3002,-96756422977.99051,20118.728503629136,-17449.6887467856,-32.11967914376531,0.0,0.0,0.0
73800.0,4350652727130.3257,-392442928624.0444,-96756480793.41296,20118.716574818358,-17449.6879559399,-32.11942053618684,0.0,0.0,0.0
75600.0,4350688940820.16,-392474338062.36505,-96756538608.36993,20118.704646005543,-17449.687165120416,-32.119161928022116,0.0,0.0,0.0
77400.0,4350725154488.523,-392505747499.26227,-96756596422.8614,20118.69271719069,-17449.686374327153,-32.11890331927115,0.0,0.0,0.0
79200.0,4350761368135.414,-392537156934.7361,-96756654236.88737,20118.6807883738,-17449.68558356011,-32.11864470993394,0.0,0.0,0.0
81000.0,4350797581760.833,-392568566368.7865,-96756712050.44785,20118.668859554873,-17449.684792819284,-32.11838610001049,0.0,0.0,0.0
82800.0,4350833795364.7803,-392599975801.4136,-96756769863.54283,20118.656930733912,-17449.684002104677,-32.1181274895008,0.0,0.0,0.0
84600.0,4350870008947.2554,-392631385232.6174,-96756827676.17232,20118.645001910914,-17449.68321141629,-32.11786887840487,0.0,0.0,0.0
86400.0,4350906222508.259,-392662794662.39795,-96756885488.3363,20118.63307308588,-17449.682420754125,-32.1176102667227,0.0,0.0,0.0
