dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,1215256363034.1042,-696437299918.3436,-42436288682.30302,23242.00145522106,-14124.260670225345,-202.73938513919018,0.0,0.0,0.0
1800.0,1215298198636.7236,-696462723587.55,-42436653613.196266,23241.89920305889,-14124.214349324171,-202.73611954687368,0.0,0.0,0.0
3600.0,1215340034055.289,-696488147173.3788,-42437018538.21145,23241.796950239135,-14124.168029561011,-202.732853908579,0.0,0.0,0.0
5400.0,1215381869289.7996,-696513570675.832,-42437383457.34849,23241.694696761806,-14124.121710935877,-202.72958822430635,0.0,0.0,0.0
7200.0,1215423704340.2537,-696538994094.9117,-42437748370.60729,23241.592442626916,-14124.075393448777,-202.72632249405606,0.0,0.0,0.0
9000.0,1215465539206.6504,-696564417430.62,-42438113277.98778,23241.49018783447,-14124.029077099722,-202.72305671782834,0.0,0.0,0.0
10800.0,1215507373888.9885,-696589840682.9587,-42438478179.48987,23241.38793238449,-14123.982761888721,-202.71979089562348,0.0,0.0,0.0
12600.0,1215549208387.2668,-696615263851.9302,-42438843075.11348,23241.285676276973,-14123.936447815786,-202.71652502744172,0.0,0.0,0.0
14400.0,1215591042701.4841,-696640686937.5363,-42439207964.85853,23241.18341951194,-14123.890134880925,-202.71325911328333,0.0,0.0,0.0
16200.0,1215632876831.6392,-696666109939.779,-42439572848.72493,23241.081162089402,-14123.84382308415,-202.7099931531486,0.0,0.0,0.0
18000.0,1215674710777.731,-696691532858.6606,-42439937726.71261,23240.978904009364,-14123.797512425468,-202.70672714703775,0.0,0.0,0.0
19800.0,1215716544539.758,-696716955694.183,-42440302598.82147,23240.87664527184,-14123.75120290489,-202.70346109495108,0.0,0.0,0.0
21600.0,1215758378117.7195,-696742378446.3483,-42440667465.051445,23240.774385876844,-14123.704894522427,-202.70019499688883,0.0,0.0,0.0
23400.0,1215800211511.614,-696767801115.1584,-42441032325.40244,23240.67212582438,-14123.658587278089,-202.69692885285127,0.0,0.0,0.0
25200.0,1215842044721.4404,-696793223700.6156,-42441397179.874374,23240.569865114467,-14123.612281171885,-202.69366266283868,0.0,0.0,0.0
27000.0,1215883877747.1978,-696818646202.7217,-42441762028.46717,23240.46760374711,-14123.565976203825,-202.6903964268513,0.0,0.0,0.0
28800.0,1215925710588.8845,-696844068621.4789,-42442126871.18074,23240.365341722325,-14123.51967237392,-202.68713014488938,0.0,0.0,0.0
30600.0,1215967543246.4995,-696869490956.8892,-42442491708.015,23240.26307904012,-14123.473369682179,-202.68386381695322,0.0,0.0,0.0
32400.0,1216009375720.0417,-696894913208.9546,-42442856538.96987,23240.160815700507,-14123.427068128613,-202.68059744304307,0.0,0.0,0.0
34200.0,1216051208009.51,-696920335377.6772,-42443221364.045265,23240.058551703496,-14123.38076771323,-202.67733102315918,0.0,0.0,0.0
36000.0,1216093040114.903,-696945757463.0591,-42443586183.241104,23239.9562870491,-14123.334468436042,-202.67406455730182,0.0,0.0,0.0
37800.0,1216134872036.2197,-696971179465.1023,-42443950996.557304,23239.854021737327,-14123.288170297057,-202.67079804547126,0.0,0.0,0.0
39600.0,1216176703773.4587,-696996601383.8088,-42444315803.99379,23239.75175576819,-14123.241873296287,-202.66753148766776,0.0,0.0,0.0
41400.0,1216218535326.6191,-697022023219.1808,-42444680605.55047,23239.6494891417,-14123.19557743374,-202.66426488389158,0.0,0.0,0.0
43200.0,1216260366695.6997,-697047444971.2202,-42445045401.22726,23239.547221857865,-14123.149282709428,-202.660998234143,0.0,0.0,0.0
45000.0,1216302197880.699,-697072866639.9291,-42445410191.02408,23239.4449539167,-14123.10298912336,-202.65773153842227,0.0,0.0,0.0
46800.0,1216344028881.616,-697098288225.3094,-42445774974.94085,23239.342685318214,-14123.056696675543,-202.65446479672966,0.0,0.0,0.0
48600.0,1216385859698.4495,-697123709727.3634,-42446139752.977486,23239.24041606242,-14123.01040536599,-202.6511980090654,0.0,0.0,0.0
50400.0,1216427690331.1985,-697149131146.093,-42446504525.1339,23239.13814614933,-14122.964115194713,-202.6479311754298,0.0,0.0,0.0
52200.0,1216469520779.8616,-697174552481.5004,-42446869291.41002,23239.03587557895,-14122.917826161718,-202.64466429582308,0.0,0.0,0.0
54000.0,1216511351044.4375,-697199973733.5874,-42447234051.80575,23238.933604351292,-14122.871538267016,-202.64139737024553,0.0,0.0,0.0
55800.0,1216553181124.9253,-697225394902.3563,-42447598806.321014,23238.831332466372,-14122.825251510618,-202.63813039869743,0.0,0.0,0.0
57600.0,1216595011021.3237,-697250815987.8091,-42447963554.955734,23238.729059924197,-14122.778965892534,-202.634863381179,0.0,0.0,0.0
59400.0,1216636840733.6316,-697276236989.9476,-42448328297.70982,23238.626786724777,-14122.732681412774,-202.63159631769054,0.0,0.0,0.0
61200.0,1216678670261.8477,-697301657908.7742,-42448693034.5832,23238.524512868127,-14122.686398071346,-202.6283292082323,0.0,0.0,0.0
63000.0,1216720499605.9707,-697327078744.2906,-42449057765.575775,23238.422238354255,-14122.640115868262,-202.62506205280454,0.0,0.0,0.0
64800.0,1216762328765.9998,-697352499496.4993,-42449422490.68747,23238.319963183174,-14122.59383480353,-202.62179485140754,0.0,0.0,0.0
66600.0,1216804157741.9336,-697377920165.4019,-42449787209.918205,23238.217687354892,-14122.547554877163,-202.61852760404153,0.0,0.0,0.0
68400.0,1216845986533.7708,-697403340751.0006,-42450151923.26789,23238.115410869425,-14122.501276089168,-202.61526031070682,0.0,0.0,0.0
70200.0,1216887815141.5103,-697428761253.2976,-42450516630.73645,23238.013133726778,-14122.454998439556,-202.61199297140362,0.0,0.0,0.0
72000.0,1216929643565.151,-697454181672.2948,-42450881332.3238,23237.910855926966,-14122.408721928337,-202.60872558613224,0.0,0.0,0.0
73800.0,1216971471804.6917,-697479602007.9943,-42451246028.029854,23237.80857747,-14122.362446555522,-202.60545815489291,0.0,0.0,0.0
75600.0,1217013299860.131,-697505022260.3981,-42451610717.85453,23237.70629835589,-14122.31617232112,-202.6021906776859,0.0,0.0,0.0
77400.0,1217055127731.4683,-697530442429.5083,-42451975401.79775,23237.604018584647,-14122.26989922514,-202.5989231545115,0.0,0.0,0.0
79200.0,1217096955418.7017,-697555862515.3269,-42452340079.85943,23237.501738156283,-14122.223627267595,-202.59565558536997,0.0,0.0,0.0
81000.0,1217138782921.8303,-697581282517.856,-42452704752.03948,23237.399457070806,-14122.17735644849,-202.59238797026154,0.0,0.0,0.0
82800.0,1217180610240.853,-697606702437.0975,-42453069418.33783,23237.29717532823,-14122.131086767838,-202.58912030918648,0.0,0.0,0.0
84600.0,1217222437375.7686,-697632122273.0537,-42453434078.75439,23237.194892928565,-14122.08481822565,-202.58585260214508,0.0,0.0,0.0
86400.0,1217264264326.576,-697657542025.7266,-42453798733.28907,23237.092609871823,-14122.038550821933,-202.5825848491376,0.0,0.0,0.0
