dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,1749215996359.7183,2173215989356.584,-15723818934.27992,14481.56861490514,-18902.032915392374,171.34103924261714,0.0,0.0,0.0
1800.0,1749242063183.225,2173181965697.3362,-15723510520.409285,14481.55099315116,-18902.054385792286,171.34118769086385,0.0,0.0,0.0
3600.0,1749268129975.0127,2173147941999.4417,-15723202106.27144,14481.533371478452,-18902.07585627138,171.3413361377618,0.0,0.0,0.0
5400.0,1749294196735.0813,2173113918262.9004,-15722893691.866392,14481.515749887014,-18902.09732682966,171.34148458331097,0.0,0.0,0.0
7200.0,1749320263463.4312,2173079894487.7122,-15722585277.194141,14481.498128376847,-18902.11879746712,171.34163302751136,0.0,0.0,0.0
9000.0,1749346330160.0623,2173045870673.8767,-15722276862.254692,14481.480506947952,-18902.140268183764,171.34178147036297,0.0,0.0,0.0
10800.0,1749372396824.9749,2173011846821.394,-15721968447.048046,14481.46288560033,-18902.16173897959,171.3419299118658,0.0,0.0,0.0
12600.0,1749398463458.169,2172977822930.264,-15721660031.574205,14481.44526433398,-18902.1832098546,171.34207835201983,0.0,0.0,0.0
14400.0,1749424530059.6448,2172943799000.486,-15721351615.833172,14481.427643148902,-18902.20468080879,171.34222679082507,0.0,0.0,0.0
16200.0,1749450596629.4023,2172909775032.0605,-15721043199.82495,14481.410022045098,-18902.226151842162,171.3423752282815,0.0,0.0,0.0
18000.0,1749476663167.4421,2172875751024.9873,-15720734783.549538,14481.392401022567,-18902.247622954714,171.34252366438912,0.0,0.0,0.0
19800.0,1749502729673.764,2172841726979.2659,-15720426367.00694,14481.37478008131,-18902.269094146446,171.34267209914796,0.0,0.0,0.0
21600.0,1749528796148.3682,2172807702894.8965,-15720117950.197163,14481.357159221328,-18902.29056541736,171.342820532558,0.0,0.0,0.0
23400.0,1749554862591.255,2172773678771.8787,-15719809533.120205,14481.33953844262,-18902.312036767453,171.34296896461922,0.0,0.0,0.0
25200.0,1749580929002.424,2172739654610.2124,-15719501115.776068,14481.321917745188,-18902.333508196727,171.3431173953316,0.0,0.0,0.0
27000.0,1749606995381.876,2172705630409.8977,-15719192698.164757,14481.304297129032,-18902.354979705182,171.34326582469518,0.0,0.0,0.0
28800.0,1749633061729.6108,2172671606170.9343,-15718884280.286272,14481.28667659415,-18902.376451292817,171.34341425270995,0.0,0.0,0.0
30600.0,1749659128045.6287,2172637581893.322,-15718575862.140617,14481.269056140545,-18902.39792295963,171.34356267937588,0.0,0.0,0.0
32400.0,1749685194329.9297,2172603557577.0608,-15718267443.727795,14481.251435768218,-18902.419394705623,171.34371110469297,0.0,0.0,0.0
34200.0,1749711260582.5142,2172569533222.1504,-15717959025.047806,14481.233815477166,-18902.440866530793,171.34385952866123,0.0,0.0,0.0
36000.0,1749737326803.382,2172535508828.5906,-15717650606.100655,14481.216195267392,-18902.462338435143,171.34400795128064,0.0,0.0,0.0
37800.0,1749763392992.5334,2172501484396.3813,-15717342186.886343,14481.198575138897,-18902.48381041867,171.34415637255123,0.0,0.0,0.0
39600.0,1749789459149.9688,2172467459925.5227,-15717033767.404873,14481.180955091679,-18902.505282481376,171.34430479247297,0.0,0.0,0.0
41400.0,1749815525275.688,2172433435416.0142,-15716725347.656246,14481.163335125739,-18902.526754623257,171.34445321104587,0.0,0.0,0.0
43200.0,1749841591369.6912,2172399410867.856,-15716416927.640467,14481.145715241079,-18902.548226844316,171.3446016282699,0.0,0.0,0.0
45000.0,1749867657431.9785,2172365386281.0476,-15716108507.357536,14481.128095437696,-18902.56969914455,171.34475004414512,0.0,0.0,0.0
46800.0,1749893723462.5503,2172331361655.589,-15715800086.807457,14481.110475715594,-18902.591171523964,171.34489845867145,0.0,0.0,0.0
48600.0,1749919789461.4065,2172297336991.4805,-15715491665.99023,14481.09285607477,-18902.612643982553,171.34504687184892,0.0,0.0,0.0
50400.0,1749945855428.5474,2172263312288.7212,-15715183244.90586,14481.07523651523,-18902.63411652032,171.34519528367753,0.0,0.0,0.0
52200.0,1749971921363.9731,2172229287547.3115,-15714874823.55435,14481.057617036968,-18902.655589137263,171.34534369415726,0.0,0.0,0.0
54000.0,1749997987267.6838,2172195262767.251,-15714566401.9357,14481.039997639988,-18902.67706183338,171.34549210328814,0.0,0.0,0.0
55800.0,1750024053139.6797,2172161237948.5398,-15714257980.049913,14481.02237832429,-18902.698534608673,171.34564051107014,0.0,0.0,0.0
57600.0,1750050118979.9607,2172127213091.1775,-15713949557.896994,14481.004759089872,-18902.72000746314,171.34578891750326,0.0,0.0,0.0
59400.0,1750076184788.527,2172093188195.164,-15713641135.476942,14480.987139936737,-18902.74148039678,171.3459373225875,0.0,0.0,0.0
61200.0,1750102250565.379,2172059163260.4993,-15713332712.78976,14480.969520864885,-18902.762953409598,171.34608572632285,0.0,0.0,0.0
63000.0,1750128316310.5164,2172025138287.183,-15713024289.835453,14480.951901874316,-18902.78442650159,171.3462341287093,0.0,0.0,0.0
64800.0,1750154382023.9397,2171991113275.2153,-15712715866.614021,14480.93428296503,-18902.805899672752,171.3463825297469,0.0,0.0,0.0
66600.0,1750180447705.649,2171957088224.596,-15712407443.125467,14480.916664137028,-18902.82737292309,171.34653092943557,0.0,0.0,0.0
68400.0,1750206513355.6443,2171923063135.3247,-15712099019.369795,14480.89904539031,-18902.8488462526,171.34667932777535,0.0,0.0,0.0
70200.0,1750232578973.926,2171889038007.4014,-15711790595.347004,14480.881426724876,-18902.870319661284,171.34682772476623,0.0,0.0,0.0
72000.0,1750258644560.4941,2171855012840.826,-15711482171.0571,14480.863808140726,-18902.89179314914,171.34697612040821,0.0,0.0,0.0
73800.0,1750284710115.3489,2171820987635.5981,-15711173746.500084,14480.846189637861,-18902.913266716172,171.34712451470128,0.0,0.0,0.0
75600.0,1750310775638.4902,2171786962391.718,-15710865321.675957,14480.828571216283,-18902.934740362372,171.34727290764542,0.0,0.0,0.0
77400.0,1750336841129.9185,2171752937109.1853,-15710556896.584723,14480.81095287599,-18902.956214087746,171.34742129924066,0.0,0.0,0.0
79200.0,1750362906589.6335,2171718911788.0,-15710248471.226383,14480.793334616985,-18902.97768789229,171.347569689487,0.0,0.0,0.0
81000.0,1750388972017.6357,2171684886428.1619,-15709940045.600943,14480.775716439264,-18902.999161776006,171.3477180783844,0.0,0.0,0.0
82800.0,1750415037413.9253,2171650861029.6707,-15709631619.7084,14480.75809834283,-18903.020635738892,171.34786646593284,0.0,0.0,0.0
84600.0,1750441102778.5022,2171616835592.5264,-15709323193.548761,14480.740480327686,-18903.04210978095,171.34801485213237,0.0,0.0,0.0
86400.0,1750467168111.3667,2171582810116.7288,-15709014767.122028,14480.722862393828,-18903.063583902178,171.34816323698297,0.0,0.0,0.0
