dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,-114495565333.35136,12285832583.975246,1524076667.7684717,-15335.716256488677,-23345.083756273158,2109.257635537643,0.0,0.0,0.0
1800.0,-114523169622.61304,12243811433.213955,1527873331.5124395,-15335.573774955208,-23365.692424602476,2108.9663990446043,0.0,0.0,0.0
3600.0,-114550773655.40796,12201753186.84967,1531669471.0307198,-15335.419183133637,-23386.30109646764,2108.6744637247384,0.0,0.0,0.0
5400.0,-114578377409.9376,12159657844.876028,1535465085.0654242,-15335.252480896886,-23406.909764658736,2108.381829669731,0.0,0.0,0.0
7200.0,-114605980864.40323,12117525407.299643,1539260172.3588297,-15335.073668122235,-23427.518421965637,2108.0884969715216,0.0,0.0,0.0
9000.0,-114633583997.00584,12075355874.140104,1543054731.6533785,-15334.882744691326,-23448.127061177984,2107.7944657223056,0.0,0.0,0.0
10800.0,-114661186785.94629,12033149245.429983,1546848761.6916785,-15334.679710490163,-23468.7356750852,2107.499736014532,0.0,0.0,0.0
12600.0,-114688789209.42517,11990905521.21483,1550642261.2165046,-15334.464565409115,-23489.3442564765,2107.204307940905,0.0,0.0,0.0
14400.0,-114716391245.64291,11948624701.553173,1554435228.9707983,-15334.237309342907,-23509.952798140876,2106.9081815943828,0.0,0.0,0.0
16200.0,-114743992872.79973,11906306786.51652,1558227663.697668,-15333.997942190634,-23530.56129286711,2106.611357068179,0.0,0.0,0.0
18000.0,-114771594069.09567,11863951776.18936,1562019564.1403909,-15333.746463855749,-23551.169733443785,2106.313834455762,0.0,0.0,0.0
19800.0,-114799194812.7306,11821559670.66916,1565810929.0424113,-15333.482874246069,-23571.778112659267,2106.0156138508532,0.0,0.0,0.0
21600.0,-114826795081.90425,11779130470.066374,1569601757.147343,-15333.207173273777,-23592.386423301727,2105.7166953474307,0.0,0.0,0.0
23400.0,-114854394854.81615,11736664174.50443,1573392047.1989684,-15332.91936085542,-23612.994658159132,2105.4170790397256,0.0,0.0,0.0
25200.0,-114881994109.66568,11694160784.119745,1577181797.9412398,-15332.619436911906,-23633.602810019256,2105.116765022224,0.0,0.0,0.0
27000.0,-114909592824.65211,11651620299.06171,1580971008.11828,-15332.307401368509,-23654.210871669675,2104.815753389667,0.0,0.0,0.0
28800.0,-114937190977.97458,11609042719.492704,1584759676.4743814,-15331.98325415487,-23674.818835897775,2104.5140442370493,0.0,0.0,0.0
30600.0,-114964788547.83206,11566428045.588089,1588547801.754008,-15331.646995204992,-23695.42669549075,2104.211637659621,0.0,0.0,0.0
32400.0,-114992385512.42343,11523776277.536205,1592335382.7017953,-15331.298624457246,-23716.034443235614,2103.908533752886,0.0,0.0,0.0
34200.0,-115019981849.94745,11481087415.538382,1596122418.0625505,-15330.938141854369,-23736.642071919192,2103.6047326126027,0.0,0.0,0.0
36000.0,-115047577538.60278,11438361459.808928,1599908906.5812533,-15330.565547343462,-23757.24957432813,2103.300234334784,0.0,0.0,0.0
37800.0,-115075172556.588,11395598410.575136,1603694847.0030558,-15330.180840875993,-23777.856943248895,2102.9950390156973,0.0,0.0,0.0
39600.0,-115102766882.10158,11352798268.077288,1607480238.0732841,-15329.784022407799,-23798.464171467782,2102.6891467518644,0.0,0.0,0.0
41400.0,-115130360493.34192,11309961032.568645,1611265078.5374374,-15329.37509189908,-23819.07125177091,2102.382557640061,0.0,0.0,0.0
43200.0,-115157953368.50734,11267086704.315458,1615049367.1411896,-15328.954049314409,-23839.678176944235,2102.0752717773175,0.0,0.0,0.0
45000.0,-115185545485.79611,11224175283.596958,1618833102.6303887,-15328.52089462272,-23860.284939773537,2101.767289260919,0.0,0.0,0.0
46800.0,-115213136823.40643,11181226770.705366,1622616283.7510583,-15328.07562779732,-23880.891533044436,2101.458610188404,0.0,0.0,0.0
48600.0,-115240727359.53647,11138241165.945887,1626398909.2493975,-15327.618248815881,-23901.497949542394,2101.1492346575656,0.0,0.0,0.0
50400.0,-115268317072.38434,11095218469.636711,1630180977.871781,-15327.148757660447,-23922.104182052706,2100.839162766452,0.0,0.0,0.0
52200.0,-115295905940.14813,11052158682.109016,1633962488.3647606,-15326.667154317425,-23942.710223360522,2100.528394613364,0.0,0.0,0.0
54000.0,-115323493941.02591,11009061803.706968,1637743439.4750648,-15326.173438777598,-23963.316066250827,2100.216930296858,0.0,0.0,0.0
55800.0,-115351081053.21571,10965927834.787716,1641523829.949599,-15325.667611036113,-23983.921703508462,2099.9047699157445,0.0,0.0,0.0
57600.0,-115378667254.91557,10922756775.721401,1645303658.5354474,-15325.14967109249,-24004.52712791812,2099.591913569087,0.0,0.0,0.0
59400.0,-115406252524.32353,10879548626.89115,1649082923.9798717,-15324.619618950615,-24025.132332264355,2099.2783613562037,0.0,0.0,0.0
61200.0,-115433836839.63765,10836303388.693073,1652861625.030313,-15324.07745461875,-24045.737309331565,2098.9641133766677,0.0,0.0,0.0
63000.0,-115461420179.05597,10793021061.536276,1656639760.434391,-15323.52317810952,-24066.34205190402,2098.649169730305,0.0,0.0,0.0
64800.0,-115489002520.77657,10749701645.842848,1660417328.9399056,-15322.95678943993,-24086.946552765847,2098.3335305171963,0.0,0.0,0.0
66600.0,-115516583842.99756,10706345142.047869,1664194329.2948365,-15322.378288631346,-24107.550804701044,2098.017195837677,0.0,0.0,0.0
68400.0,-115544164123.9171,10662951550.599407,1667970760.2473443,-15321.787675709511,-24128.154800493474,2097.7001657923347,0.0,0.0,0.0
70200.0,-115571743341.73338,10619520871.958519,1671746620.5457704,-15321.184950704539,-24148.758532926873,2097.382440482013,0.0,0.0,0.0
72000.0,-115599321474.64465,10576053106.59925,1675521908.938638,-15320.570113650916,-24169.361994784853,2097.0640200078083,0.0,0.0,0.0
73800.0,-115626898500.84923,10532548255.008638,1679296624.174652,-15319.943164587497,-24189.9651788509,2096.744904471071,0.0,0.0,0.0
75600.0,-115654474398.54549,10489006317.686707,1683070765.0027,-15319.304103557513,-24210.568077908385,2096.425093973406,0.0,0.0,0.0
77400.0,-115682049145.93188,10445427295.146471,1686844330.171852,-15318.652930608567,-24231.170684740555,2096.1045886166717,0.0,0.0,0.0
79200.0,-115709622721.20699,10401811187.913939,1690617318.4313622,-15317.989645792632,-24251.772992130544,2095.7833885029804,0.0,0.0,0.0
81000.0,-115737195102.56941,10358157996.528103,1694389728.5306675,-15317.314249166056,-24272.37499286138,2095.4614937346987,0.0,0.0,0.0
82800.0,-115764766268.21791,10314467721.540953,1698161559.21939,-15316.626740789561,-24292.976679715975,2095.138904414446,0.0,0.0,0.0
84600.0,-115792336196.35133,10270740363.517464,1701932809.247336,-15315.927120728242,-24313.578045477137,2094.8156206450967,0.0,0.0,0.0
86400.0,-115819904865.16864,10226975923.035604,1705703477.3644972,-15315.215389051567,-24334.17908292757,2094.4916425297783,0.0,0.0,0.0
